conduit,from-to,slope,D_m,length_m,V_mean_dry,V_p10_dry,Q_mean_Ls,Q_max_Ls,tau_full_Pa
G72F550_G72F010_l1,,0.01574,0.5,47.7,0.032,0.018,0.72,0.85,19.3
G73F510_G73F500_l1,,0.01825,0.45,51,0.06,0.013,1.31,2.7,20.14
G72F020_G72K020_l1,,-0.01363,1.6875,16.1,0.069,0.024,4.13,5.68,0
G72F030_G72F020_l1,,0.00667,1.6875,80.8,0.074,0.025,4.03,5.65,0
G72K010_G72F010_l1,,0.00245,1.6875,4.5,0.125,0.06,4.15,5.68,0
G80F240_G80F230_l1,,0.02745,0.3,100.9,0.127,0,1.26,27.64,20.19
G74F130_G72F120_l1,,0.01291,0.7,14.7,0.142,0.115,0.94,1.13,22.15
G80F66Y_G80F310_l1,,0.00702,0.2,4.1,0.154,0.003,0.55,4.33,3.44
G61F440_G61F430_l1,,0.00132,0.3,75.7,0.175,0.121,0.53,0.93,0.97
G61F460_G61F440_l1,,0.00535,0.3,71,0.183,0.126,0.52,0.9,3.94
G61F080_G60F61Y_l1,,0.00887,0.9,75.5,0.186,0.088,1.22,2.23,0
G80F190_G80F180_l1,,0.01323,0.2,89.9,0.187,0.023,1.13,13.01,6.49
G80F180_G80F170_l1,,0.00163,0.3,61.3,0.189,0.066,1.13,8.58,1.2
G72K020_G72K010_l1,,0.00165,1.6875,36.4,0.193,0.112,4.13,5.66,0
G80F230_G80F220_l1,,0.02607,0.25,95.1,0.196,0,1.19,25.6,15.99
G61F011_G61F010_l1,,0.03125,0.35,8.3,0.206,0.116,0.58,1.03,26.82
G73F000_G72F120_l1,,0.00438,1,63.9,0.208,0.145,2.2,3.53,10.74
G70S010_G70F010_l1,,0.00801,0.2,69.9,0.21,0.185,1.36,1.85,3.93
G72F010_G71F200_l1,,-0.00109,1.6875,36.8,0.219,0.122,5.07,6.77,0
G80F070_G80F060_l1,,0.00132,0.3,15.1,0.219,0.116,1.24,3.89,0.97
G80F030_G80F020_l1,,0.00187,0.3,80.3,0.22,0.12,1.22,3.38,1.37
G80F080_G80F070_l1,,0.00256,0.3,82.1,0.227,0.116,1.24,4.19,1.88
G80F220_G80F210_l1,,0.02006,0.25,85.2,0.233,0,1.15,20.69,12.3
G80F160_G80F140_l1,,0.00384,0.3,70.4,0.237,0.089,1.13,7.76,2.82
G80F040_G80F030_l1,,0.00224,0.3,89.4,0.239,0.127,1.23,3.65,1.65
G80F060_G80F040_l1,,0.00211,0.3,85.5,0.239,0.126,1.24,3.94,1.55
G64F080_G64F070_l1,,0.00025,0.6,81,0.24,0.165,7.46,11.42,0.36
G71F140_G71F130_l1,,-0.00018,1.6875,56.8,0.24,0.153,5.22,6.98,0
G80F090_G80F080_l1,,0.00227,0.3,75,0.24,0.118,1.22,4.59,1.67
G80F140_G80F130_l1,,0.00432,0.3,69.5,0.243,0.099,1.14,6.71,3.18
G80F020_G80F010_l1,,0.00174,0.3,80.5,0.244,0.134,1.21,2.98,1.28
G80F210_G80F190_l1,,0.01985,0.25,92.7,0.246,0,1.13,17.11,12.17
G80F130_G80F120_l1,,0.00333,0.3,69,0.248,0.109,1.14,5.79,2.45
G73F010_G73F000_l1,,0.00356,1,53.4,0.25,0.17,2.09,3.43,8.73
G73F570_G73F560_l1,,0.00217,0.55,59.9,0.252,0.152,1.33,2.87,2.93
G80F120_G80F110_l1,,0.00338,0.3,14.8,0.252,0.1,1.14,5.51,2.49
G80F110_G80F090_l1,,0.00396,0.3,80.8,0.252,0.123,1.21,5.55,2.91
F74F380_F74F370_l1,,0.00056,0.5,71.7,0.26,0.184,9.76,17.11,0.68
G80F170_G80F160_l1,,0.00872,0.3,25.2,0.26,0.094,1.12,8.29,6.42
G65F110_G65F090_l1,,0.00015,0.6,66.4,0.262,0.175,7.15,10.78,0.22
G73K570_G73F570_l1,,0.00408,0.55,56.4,0.268,0.16,1.34,2.88,5.5
G63F010_G60F210_l1,,0.00032,0.6,95.2,0.269,0.188,8.19,13.46,0.46
G70F040_G70F030_l1,,0.00169,0.6,70.9,0.272,0.188,5.54,8.89,2.49
G64F040_G64F030_l1,,0.00025,0.6,80.6,0.276,0.189,8.12,12.71,0.37
G70S200_G70S080_l1,,0.0083,0.2,61.4,0.276,0.169,0.72,1.09,4.07
G73F020_G73F010_l1,,0.00211,1,19,0.277,0.212,2.09,3.44,5.17
G65F030_G65F020_l1,,0.00128,0.6,70.3,0.279,0.194,6.98,10.5,1.88
G64F060_G64F040_l1,,0.00149,0.6,80.5,0.279,0.191,8.18,12.73,2.19
G63F020_G63F010_l1,,0.00138,0.6,79.5,0.281,0.199,8.25,13.49,2.04
G65F120_G65F110_l1,,0.00228,0.6,48.2,0.283,0.188,7.18,10.85,3.36
G73F140_G73F130_l1,,0.00335,0.65,44.7,0.284,0.197,1.55,2.89,5.34
G70F030_G70F020_l1,,0.00053,0.6,56.3,0.285,0.189,5.92,9.29,0.78
G73F030_G73F020_l1,,0.0047,1,31.9,0.29,0.223,2.09,3.44,11.52
G64F030_G64F020_l1,,0.00142,0.6,84.2,0.294,0.205,8.08,12.69,2.1
G64F020_G64F010_l1,,0.00043,0.6,70.4,0.294,0.206,8.04,12.67,0.63
G70S250_G70S210_l1,,0.00523,0.188,74.6,0.295,0.216,0.71,1.07,2.41
G71F160_G71F140_l1,,0.00119,1.6875,58.7,0.297,0.224,5.13,6.87,0
G65F060_G65F040_l1,,0.00099,0.6,80.5,0.3,0.214,7.04,10.57,1.46
G65F090_G65F080_l1,,0.00131,0.6,68.6,0.3,0.209,7.13,10.72,1.93
G60F090_G60F070_l1,,0,0.5,58.1,0.301,0.187,7.96,13.43,0
G65F080_G65F070_l1,,0.00064,0.6,62.3,0.301,0.211,7.1,10.68,0.94
F74F390_F74F380_l1,,0.00083,0.5,72.3,0.302,0.23,9.81,17.13,1.02
G65F010_G64F080_l1,,0.00325,0.6,73.8,0.304,0.211,7.51,11.47,4.79
G64F070_G64F060_l1,,0.00075,0.6,80.4,0.305,0.218,7.41,11.39,1.1
G60F110_G60F090_l1,,0.00353,0.5,62.3,0.305,0.201,8,13.44,4.33
G73F560_G73F540_l1,,0.00389,0.414,59.1,0.307,0.184,1.32,2.83,3.95
G65F020_G65F010_l1,,0.00062,0.6,80.5,0.31,0.215,6.94,10.47,0.91
G65F040_G65F030_l1,,0.00087,0.6,80.8,0.312,0.222,7.01,10.54,1.27
G70S210_G70S200_l1,,0.00362,0.2,60.7,0.313,0.229,0.72,1.09,1.78
G73F040_G73F030_l1,,0.0031,1,45.2,0.313,0.242,2.09,3.46,7.6
G70F020_G70F010_l1,,0.00176,0.6,56.8,0.318,0.215,5.9,9.22,2.59
G72F570_G72K560_l1,,0.0082,0.55,30.5,0.318,0.237,0.69,0.83,11.06
G73F580_G73K570_l1,,0.0051,0.55,9.8,0.319,0.192,1.33,2.9,6.87
G70S030_G70S020_l1,,0.00394,0.2,50.7,0.32,0.246,1.37,1.85,1.93
G73F130_G73F120_l1,,0.00331,0.7,45.4,0.321,0.225,1.56,2.88,5.68
G61F090_G61F080_l1,,0.00658,0.9,36.5,0.331,0.204,1.22,2.24,0
G65F070_G65F060_l1,,0.00136,0.6,80.7,0.334,0.239,7.07,10.64,2.01
F74F430_F74F420_l1,,0.00072,0.5,27.7,0.335,0.245,9.91,17.14,0.88
G61F430_G61F420_l1,,0.00476,0.3,71.4,0.335,0.231,0.55,0.97,3.5
G63F040_G63F030_l1,,0.00099,0.6,80.7,0.336,0.245,8.33,13.51,1.46
G71F180_G71F170_l1,,0.0013,1.6875,46,0.336,0.236,5.06,6.8,0
G71F170_G71F160_l1,,0.0016,1.6875,81,0.337,0.239,5.12,6.86,0
G70F010_G65F130_l1,,0.00127,0.6,71,0.339,0.238,7.23,10.92,1.86
G71F120_G71F110_l1,,0.00162,1.6875,61.7,0.341,0.238,5.37,7.18,0
G63F070_G63F060_l1,,0.00112,0.6,80.6,0.345,0.252,7.88,12.63,1.64
G60F180_G60F170_l1,,0.00297,0.6,63.9,0.345,0.248,8.13,13.45,4.38
G63F080_G63F070_l1,,0.00156,0.6,76.8,0.347,0.252,7.92,12.64,2.3
G73F540_G73F530_l1,,0.00411,0.414,60.8,0.348,0.207,1.31,2.76,4.17
G72F642_G72F641_l1,,0.0036,0.181,33.3,0.351,0.277,0.52,0.61,1.6
G63F060_G63F040_l1,,0.00175,0.6,80.2,0.353,0.258,8.37,13.51,2.57
G70S020_G70S010_l1,,0.00284,0.2,73.9,0.355,0.274,1.36,1.85,1.39
G72K560_G72K560_201188562_l1,,0.00727,0.55,16.4,0.356,0.264,0.72,0.85,9.81
G60F170_G60F160_l1,,0.00093,0.5,64.2,0.356,0.251,8.1,13.45,1.15
G64F010_G63F090_l1,,0.00149,0.6,80.6,0.359,0.261,8,12.66,2.19
G71F130_G71F120_l1,,0.00175,1.6875,28.5,0.36,0.257,5.22,6.99,0
F74F370_F74F360_l1,,0.00019,0.5,51.3,0.361,0.255,9.72,17.11,0.24
G63F090_G63F080_l1,,0.00131,0.6,84.2,0.361,0.263,7.96,12.65,1.92
G72F080_G72F070_l1,,0.00163,1.6875,61.4,0.361,0.235,3.63,5.16,0
G60F210_G60F190_l1,,0.00106,0.6,18.8,0.363,0.26,8.17,13.46,1.56
G73F150_G73F140_l1,,0.01254,0.65,47.8,0.365,0.258,1.54,2.91,19.99
G61F160_G61F140_l1,,0.00831,0.61875,97.6,0.366,0.267,0.84,1.51,0
G80F010_G73F630_l1,,0.00384,0.3,20.8,0.366,0.195,1.2,2.91,2.83
G61F130_G61F120_l1,,0.01462,0.61875,66.3,0.367,0.223,0.93,1.68,0
G63F030_G63F020_l1,,0.00142,0.6,77.7,0.368,0.272,8.29,13.5,2.08
G73K040_G73F040_l1,,0.01401,1,7.2,0.369,0.285,2.09,3.47,34.36
G74F150_G74F140_l1,,0.01099,0.7,47.3,0.371,0.291,0.94,1.12,18.87
G65F130_G65F120_l1,,0.0014,0.6,64.2,0.373,0.261,7.2,10.89,2.06
F74F440_F74F430_l1,,0.00188,0.5,53.3,0.374,0.276,9.94,17.15,2.3
F74F410_F74F390_l1,,0.00198,0.5,65.6,0.379,0.285,9.85,17.14,2.43
G74F140_G74F130_l1,,0.00864,0.7,61.3,0.38,0.293,0.93,1.12,14.84
G72F620_G72F610_l1,,0.00933,0.35,48.2,0.381,0.301,0.6,0.71,8.01
G75S060_G75S040_l1,,0.03756,0.284,14.4,0.382,0.285,0.71,1.07,26.16
G60F130_G60F120_l1,,0.00287,0.5,62.8,0.384,0.265,8.05,13.44,3.52
G73F590_G73F580_l1,,0.0086,0.4,40.7,0.389,0.216,1.29,2.99,8.43
G70S040_G70S030_l1,,0.00659,0.2,36.4,0.39,0.303,1.33,1.8,3.23
F74F420_F74F410_l1,,0.00121,0.5,90.5,0.391,0.289,9.88,17.14,1.49
G71F190_G71F180_l1,,0.00409,1.6875,46.5,0.393,0.276,5.06,6.79,0
G70S080_G70S070_l1,,0.00521,0.2,73,0.394,0.305,1.31,1.77,2.55
G60F120_G60F110_l1,,0.00124,0.5,56.2,0.395,0.274,8.02,13.44,1.53
G73F120_G73F110_l1,,0.00831,0.7,45.7,0.405,0.282,1.57,2.89,14.27
G72F630_G72F620_l1,,0.01695,0.3,48.4,0.405,0.326,0.59,0.69,12.47
G73F530_G73F520_l1,,0.00695,0.55,60.5,0.407,0.247,1.31,2.72,9.37
G71F110_G71F100_l1,,0.00175,1.6875,57.3,0.412,0.284,5.35,7.17,0
G71F020_G71F010_l1,,0.003,0.5,70,0.412,0.287,5.62,9.55,3.68
